"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Alberta",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","4,355,377","4,407,495","4,431,531"
"0 to 4 years","272,948","269,237","261,279"
"5 to 9 years","278,593","280,083","282,243"
"10 to 14 years","268,781","276,732","280,980"
"15 to 19 years","253,118","255,263","256,844"
"20 to 24 years","275,427","275,506","271,127"
"25 to 29 years","320,152","312,876","303,720"
"30 to 34 years","352,499","352,682","346,990"
"35 to 39 years","348,452","355,310","358,293"
"40 to 44 years","307,467","315,563","323,421"
"45 to 49 years","284,083","286,912","288,278"
"50 to 54 years","268,665","267,153","270,634"
"55 to 59 years","288,378","286,976","280,305"
"60 to 64 years","259,089","266,266","271,368"
"65 to 69 years","197,901","209,036","220,755"
"70 to 74 years","147,519","157,294","165,232"
"75 to 79 years","97,316","101,761","107,160"
"80 to 84 years","65,902","67,879","70,535"
"85 to 89 years","42,997","43,866","44,335"
"90 to 94 years","19,701","20,494","21,243"
"95 to 99 years","5,519","5,704","5,871"
"100 years and older","870","902","918"
,"Years",,
"Median age","37.2","37.5","37.9"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
