"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","British Columbia",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","5,111,022","5,176,101","5,226,665"
"0 to 4 years","230,518","229,167","227,007"
"5 to 9 years","244,756","247,029","249,299"
"10 to 14 years","250,101","255,696","258,166"
"15 to 19 years","274,804","271,013","264,216"
"20 to 24 years","352,373","346,906","333,460"
"25 to 29 years","372,317","379,258","384,973"
"30 to 34 years","369,614","381,364","393,278"
"35 to 39 years","353,914","365,942","376,557"
"40 to 44 years","318,011","326,049","337,578"
"45 to 49 years","330,746","326,166","322,805"
"50 to 54 years","340,778","337,480","339,206"
"55 to 59 years","374,710","370,712","362,131"
"60 to 64 years","352,667","356,743","359,893"
"65 to 69 years","304,234","312,153","320,767"
"70 to 74 years","246,439","260,883","271,722"
"75 to 79 years","167,020","174,713","182,468"
"80 to 84 years","111,554","115,908","121,067"
"85 to 89 years","71,449","72,521","73,685"
"90 to 94 years","33,513","34,729","36,438"
"95 to 99 years","9,977","10,019","10,276"
"100 years and older","1,527","1,650","1,673"
,"Years",,
"Median age","41.7","41.7","41.8"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
