"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","527,643","526,884","527,056"
"0 to 4 years","21,227","20,481","19,787"
"5 to 9 years","24,176","23,442","23,186"
"10 to 14 years","25,824","26,038","25,876"
"15 to 19 years","26,973","26,499","26,116"
"20 to 24 years","28,601","28,663","28,371"
"25 to 29 years","28,903","27,969","27,529"
"30 to 34 years","29,383","29,249","29,254"
"35 to 39 years","31,118","30,874","30,728"
"40 to 44 years","32,840","32,327","31,996"
"45 to 49 years","36,769","35,949","35,067"
"50 to 54 years","41,344","40,183","39,382"
"55 to 59 years","43,681","43,594","43,129"
"60 to 64 years","43,040","43,146","43,427"
"65 to 69 years","39,747","40,502","41,033"
"70 to 74 years","32,081","33,967","34,861"
"75 to 79 years","19,706","20,885","23,132"
"80 to 84 years","12,284","12,926","13,632"
"85 to 89 years","6,539","6,665","6,941"
"90 to 94 years","2,612","2,699","2,788"
"95 to 99 years","692","716","710"
"100 years and older","103","110","111"
,"Years",,
"Median age","47.1","47.6","48.0"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
