"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Manitoba",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","1,370,033","1,380,132","1,391,924"
"0 to 4 years","85,857","85,468","84,331"
"5 to 9 years","87,413","87,961","88,331"
"10 to 14 years","84,484","86,262","86,947"
"15 to 19 years","86,797","84,638","83,363"
"20 to 24 years","97,486","98,102","101,074"
"25 to 29 years","99,256","98,922","99,720"
"30 to 34 years","96,173","97,146","97,633"
"35 to 39 years","92,556","93,912","94,895"
"40 to 44 years","85,711","86,779","88,350"
"45 to 49 years","82,526","82,617","82,818"
"50 to 54 years","82,214","80,448","80,181"
"55 to 59 years","91,527","90,796","88,461"
"60 to 64 years","82,755","84,565","86,446"
"65 to 69 years","69,029","71,459","73,501"
"70 to 74 years","54,896","57,722","59,844"
"75 to 79 years","36,991","38,474","40,149"
"80 to 84 years","25,431","25,973","26,848"
"85 to 89 years","16,859","16,720","16,879"
"90 to 94 years","8,763","8,823","8,785"
"95 to 99 years","2,864","2,901","2,872"
"100 years and older","445","444","496"
,"Years",,
"Median age","37.5","37.7","37.8"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
