"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","New Brunswick",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","777,387","783,432","790,802"
"0 to 4 years","34,281","33,697","33,299"
"5 to 9 years","38,296","38,533","38,481"
"10 to 14 years","39,039","39,850","40,243"
"15 to 19 years","40,394","39,709","39,276"
"20 to 24 years","43,080","43,600","44,232"
"25 to 29 years","43,813","44,212","45,081"
"30 to 34 years","43,941","44,472","45,337"
"35 to 39 years","46,902","47,116","47,624"
"40 to 44 years","48,442","48,528","48,653"
"45 to 49 years","51,830","51,511","51,135"
"50 to 54 years","55,830","53,642","52,911"
"55 to 59 years","63,825","64,016","62,844"
"60 to 64 years","61,805","62,250","63,034"
"65 to 69 years","54,592","56,085","57,554"
"70 to 74 years","44,841","47,354","49,005"
"75 to 79 years","29,239","30,654","32,256"
"80 to 84 years","18,886","19,598","20,644"
"85 to 89 years","11,398","11,619","11,915"
"90 to 94 years","5,150","5,216","5,438"
"95 to 99 years","1,576","1,549","1,595"
"100 years and older","227","221","245"
,"Years",,
"Median age","46.1","46.2","46.3"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
