"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Nova Scotia",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","975,799","989,168","999,908"
"0 to 4 years","43,031","42,852","42,040"
"5 to 9 years","46,843","47,192","47,656"
"10 to 14 years","47,190","48,411","49,084"
"15 to 19 years","50,870","50,171","48,907"
"20 to 24 years","62,223","63,071","62,837"
"25 to 29 years","62,956","64,344","66,000"
"30 to 34 years","58,884","61,140","63,436"
"35 to 39 years","58,050","59,333","60,772"
"40 to 44 years","57,044","57,894","58,853"
"45 to 49 years","62,122","61,778","60,896"
"50 to 54 years","68,027","65,815","65,164"
"55 to 59 years","80,173","80,172","78,223"
"60 to 64 years","75,698","76,836","78,255"
"65 to 69 years","65,384","67,272","69,075"
"70 to 74 years","55,295","57,837","59,659"
"75 to 79 years","36,076","37,879","40,152"
"80 to 84 years","23,645","24,392","25,470"
"85 to 89 years","13,962","14,415","14,752"
"90 to 94 years","6,128","6,172","6,449"
"95 to 99 years","1,882","1,877","1,891"
"100 years and older","316","315","337"
,"Years",,
"Median age","45.1","45.0","45.0"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
