"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Ontario",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","14,573,565","14,761,811","14,842,488"
"0 to 4 years","730,104","730,444","720,216"
"5 to 9 years","772,961","777,455","779,955"
"10 to 14 years","794,501","803,800","807,179"
"15 to 19 years","844,994","840,767","824,719"
"20 to 24 years","1,033,680","1,025,395","988,890"
"25 to 29 years","1,057,269","1,085,649","1,094,116"
"30 to 34 years","1,005,599","1,041,463","1,064,707"
"35 to 39 years","961,119","987,659","1,004,745"
"40 to 44 years","914,909","921,902","933,676"
"45 to 49 years","947,806","941,297","928,933"
"50 to 54 years","995,970","975,572","970,476"
"55 to 59 years","1,072,470","1,078,867","1,064,091"
"60 to 64 years","939,832","964,028","989,448"
"65 to 69 years","777,699","802,466","825,560"
"70 to 74 years","644,105","674,042","696,597"
"75 to 79 years","442,888","458,502","478,944"
"80 to 84 years","310,557","319,071","328,235"
"85 to 89 years","200,510","203,209","206,639"
"90 to 94 years","95,846","98,548","102,220"
"95 to 99 years","27,409","28,120","29,131"
"100 years and older","3,337","3,555","4,011"
,"Years",,
"Median age","40.5","40.5","40.7"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
