"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Prince Edward Island",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","155,792","159,193","162,133"
"0 to 4 years","7,268","7,153","7,112"
"5 to 9 years","8,271","8,294","8,250"
"10 to 14 years","8,620","8,762","8,883"
"15 to 19 years","8,981","9,137","8,934"
"20 to 24 years","10,453","11,541","12,161"
"25 to 29 years","9,539","9,861","10,461"
"30 to 34 years","8,941","9,434","9,796"
"35 to 39 years","9,144","9,322","9,653"
"40 to 44 years","9,543","9,640","9,696"
"45 to 49 years","10,156","10,136","10,009"
"50 to 54 years","10,572","10,272","10,383"
"55 to 59 years","12,069","12,144","11,872"
"60 to 64 years","11,360","11,504","11,630"
"65 to 69 years","9,995","10,211","10,630"
"70 to 74 years","8,543","9,012","9,252"
"75 to 79 years","5,336","5,590","5,955"
"80 to 84 years","3,558","3,667","3,805"
"85 to 89 years","2,165","2,206","2,295"
"90 to 94 years","955","952","988"
"95 to 99 years","277","309","319"
"100 years and older","46","46","49"
,"Years",,
"Median age","43.5","43.1","43.0"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
