"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Saskatchewan",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","1,164,223","1,167,386","1,167,711"
"0 to 4 years","75,769","74,255","72,315"
"5 to 9 years","77,451","77,673","77,348"
"10 to 14 years","73,886","75,770","76,912"
"15 to 19 years","69,892","69,405","69,652"
"20 to 24 years","73,674","72,843","71,911"
"25 to 29 years","81,499","78,463","75,837"
"30 to 34 years","84,506","84,038","82,872"
"35 to 39 years","81,946","83,206","83,550"
"40 to 44 years","73,259","74,976","76,482"
"45 to 49 years","66,618","67,204","67,823"
"50 to 54 years","67,490","65,280","64,656"
"55 to 59 years","78,523","77,092","74,387"
"60 to 64 years","74,358","75,060","75,401"
"65 to 69 years","59,407","62,572","65,408"
"70 to 74 years","44,644","46,981","49,114"
"75 to 79 years","31,168","32,228","33,272"
"80 to 84 years","22,656","22,928","23,372"
"85 to 89 years","16,118","15,810","15,783"
"90 to 94 years","8,244","8,448","8,469"
"95 to 99 years","2,671","2,656","2,653"
"100 years and older","444","498","494"
,"Years",,
"Median age","37.7","38.0","38.4"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
