"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Yukon",,
"Gender","Total - gender",,
"Age group 3 6","2019","2020","2021"
,"Persons",,
"All ages","41,187","41,958","42,961"
"0 to 4 years","2,321","2,317","2,310"
"5 to 9 years","2,310","2,368","2,425"
"10 to 14 years","2,214","2,269","2,303"
"15 to 19 years","2,063","2,127","2,176"
"20 to 24 years","2,345","2,357","2,471"
"25 to 29 years","3,192","3,181","3,150"
"30 to 34 years","3,543","3,655","3,792"
"35 to 39 years","3,332","3,518","3,732"
"40 to 44 years","2,884","2,944","3,058"
"45 to 49 years","2,807","2,829","2,812"
"50 to 54 years","2,677","2,581","2,628"
"55 to 59 years","3,209","3,099","2,909"
"60 to 64 years","2,948","2,955","3,004"
"65 to 69 years","2,192","2,334","2,428"
"70 to 74 years","1,530","1,626","1,785"
"75 to 79 years","831","947","1,062"
"80 to 84 years","447","472","516"
"85 to 89 years","226","255","260"
"90 to 94 years","86","95","111"
"95 to 99 years","28","26","26"
"100 years and older","2","3","3"
,"Years",,
"Median age","38.8","38.8","38.7"




Footnotes:
1,"Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates."
2,"Estimates are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022, 2023 and 2024, and preliminary postcensal for 2025."
3,"Data for persons aged 90 to 100 years and older will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
6,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1, by age and gender"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
